id,type,name,creator,starring,year,rating,time,genres
80189631,Movie,America: The Motion Picture,,"Channing Tatum, Jason Mantzoukas, Olivia Munn",2021,TV-MA,98 min,"Adult Animation ,Comedy Movies ,Action & Adventure Movies "
81344237,Movie,My God!! Father,,"Thanavat Vatthanaputi, Chantavit Dhanasevi, Dollacha Phoowijarn Cowell",2020,TV-PG,104 min,"Drama Movies ,Comedy Movies ,Action & Adventure Movies"
81418329,Movie,THE FABLE,,"Junichi Okada, Fumino Kimura, Mizuki Yamamoto",2019,TV-14,123 min,"Comedy Movies ,Action & Adventure Movies"
81414862,Movie,Anonymous,,"Oc Thanh Van, Kha Ngan, La Thanh",2016,TV-14,93 min,"Comedy Movies ,Action & Adventure Movies"
81635997,Movie,Lost In Saigon,,"Diễm My, Hua Vi Van, Viet Huong",2016,TV-14,99 min,"Comedy Movies ,Action & Adventure Movies"
81437344,Movie,Seoul Vibe,,"Yoo Ah-in, Ko Kyung-pyo, Lee Kyoo-hyung",2022,TV-14,140 min,"Crime Movies ,Comedy Movies ,Action & Adventure Movies"
81079259,Movie,Thunder Force,,"Melissa McCarthy, Octavia Spencer, Jason Bateman",2021,TV-14,107 min,"Comedy Movies ,Action & Adventure Movies "
81258582,Movie,Shakini Dakini (Tamil),,"Regina Cassandra, Nivetha Thomas",2022,TV-PG,115 min,"Crime Movies ,Comedy Movies ,Action & Adventure Movies"
81595543,Movie,Shehzada,,"Kartik Aaryan, Kriti Sanon, Manisha Koirala",2023,TV-PG,142 min,"Bollywood Movies ,Drama Movies ,Comedy Movies ,Action & Adventure Movies"
70278990,Movie,Fukrey,,"Pulkit Samrat, Manjot Singh, Ali Fazal",2013,TV-PG,135 min,"Bollywood Movies ,Drama Movies ,Comedy Movies ,Action & Adventure Movies"
80017528,Movie,Happy New Year,,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan",2014,TV-14,178 min,"Bollywood Movies ,Comedy Movies ,Action & Adventure Movies"
80994666,Movie,We Can Be Heroes,,"YaYa Gosselin, Pedro Pascal, Priyanka Chopra Jonas",2020,TV-Y,100 min,"Family Movies ,Kids & Family Movies ,Comedy Movies "
80013941,Movie,Penguins of Madagascar: The Movie,,"Tom McGrath, Christopher Knights, Chris Miller",2014,TV-Y,92 min,"Family Movies ,Kids & Family Movies ,Comedy Movies ,Spy Movies "
81180203,Movie,Dora and the Lost City of Gold,,"Isabela Merced, Eugenio Derbez, Michael Peña",2019,TV-Y,105 min,"Family Movies ,Kids & Family Movies ,Comedy Movies "
80204447,Movie,Bigfoot Junior,,"Pappy Faulkner, Christopher L. Parson, Terrence Stone",2018,TV-Y7,91 min,"Family Movies ,Kids & Family Movies ,Comedy Movies"
80071348,Movie,Kung Fu Panda 3,,"Jack Black, Bryan Cranston, Dustin Hoffman",2016,TV-Y,94 min,"Family Movies ,Kids & Family Movies ,Comedy Movies ,Martial Arts Movies "
81068803,Movie,Rise of the Teenage Mutant Ninja Turtles: The Movie,,"Ben Schwartz, Omar Benson Miller, Brandon Mychal Smith",2022,TV-Y,82 min,"Kids & Family Movies ,Comedy Movies "
81354554,Movie,Seal Team,,"Jessie T. Usher, J.K. Simmons, Kristen Schaal",2021,TV-Y,100 min,"Family Movies ,Kids & Family Movies ,Comedy Movies "
81174879,Movie,Malibu Rescue: The Next Wave,,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson",2020,TV-Y,70 min,"Family Movies ,Kids & Family Movies ,Comedy Movies "
80223928,Movie,Malibu Rescue,,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson",2019,TV-Y,69 min,"Family Movies ,Kids & Family Movies ,Comedy Movies "
80199682,Movie,The Christmas Chronicles,,"Kurt Russell, Darby Camp, Judah Lewis",2018,TV-Y,105 min,"Family Movies ,Kids & Family Movies ,Comedy Movies "
80988988,Movie,The Christmas Chronicles: Part Two,,"Kurt Russell, Goldie Hawn, Darby Camp",2020,TV-Y,115 min,"Family Movies ,Kids & Family Movies ,Comedy Movies "
81660258,Movie,Ashman,,"Bashar Al Jazzaf, Elham Ali, Lulwa Almulla",2021,TV-Y7,97 min,"Family Movies ,Kids & Family Movies ,Middle Eastern Movies ,Comedy Movies ,Action & Adventure Movies"
81292136,Movie,Little Singham Samundar Ka Sikandar,,"Sumriddhi Shukla, Jigna Bhardwaj, Sonal Kaushal",2021,TV-Y,47 min,"Kids & Family Movies ,Comedy Movies"
80238399,Movie,The Sleepover,,"Sadie Stanley, Maxwell Simkins, Ken Marino",2020,TV-Y7,103 min,"Family Movies ,Kids & Family Movies ,Comedy Movies ,Mystery Movies ,Action & Adventure Movies "
81058723,TV Show,The Last Kids on Earth: Happy Apocalypse to You,,"Nick Wolfhard, Charles Demers, Montse Hernandez",2021,TV-Y,27m,"Kids' TV ,Kids & Family Movies ,TV Shows Based on Books ,Comedy Movies ,Movies Based on Books ,TV Comedies ,TV Cartoons"
81252403,Movie,Fearless,,"Yara Shahidi, Miles Robbins, Miguel J. Pimentel",2020,TV-Y,91 min,"Family Movies ,Kids & Family Movies ,Comedy Movies "
81318058,Movie,Motu Patlu: Khazaane Ki Race,,"Saurav Chakraborty, Omee, Sankalp",2015,TV-Y,75 min,"Kids & Family Movies ,Comedy Movies"
81318069,Movie,Motu Patlu in the Game of Zones,,Saurav Chakraborty,2019,TV-Y,87 min,"Kids & Family Movies ,Comedy Movies"
81681504,Movie,Luc Van Tien: Kung Fu Warrior,,"Andy Long Nguyen, Diep Lam Anh, Kim Tuyen",2017,TV-PG,89 min,"Comedy Movies ,Movies Based on Books ,Action & Adventure Movies"
81344253,Movie,The Big 4,,"Abimana Aryasatya, Putri Marino, Arie Kriting",2022,TV-MA,141 min,"Comedy Movies ,Action & Adventure Movies"
81598308,Movie,Fast & Feel Love,,"Nat Kitcharit, Urassaya Sperbund, Anusara Korsamphan",2022,TV-PG,131 min,"Sports Movies ,Romantic Comedy Movies ,Comedy Movies ,Romantic Movies ,Action & Adventure Movies"
81399614,Movie,The Mitchells vs. The Machines,,"Danny McBride, Abbi Jacobson, Maya Rudolph",2021,TV-14,114 min,Comedy Movies 
81716251,Movie,Face Off 6: The Ticket of Destiny,,"Quoc Cuong, Trung Dung, Huy Khanh",2023,TV-14,131 min,"Drama Movies ,Action & Adventure Movies"
81636002,Movie,Battle of the Fists,,"Tien Hoang, Katleen Phan Vo, Gi A Nguyen",2021,TV-PG,93 min,"Sports Movies ,Drama Movies ,Martial Arts Movies ,Action & Adventure Movies"
81078578,Movie,"The Gangster, The Cop, The Devil",,"Don Lee, Kim Moo-yeol, Kim Sung-kyu",2019,TV-14,105 min,"Crime Movies ,Action & Adventure Movies"
81711815,Movie,The Janitor,,"Dennis Trillo, Richard Gomez, Derek Ramsay",2014,TV-MA,114 min,"Crime Movies ,Drama Movies ,Action & Adventure Movies"
81647497,Movie,High & Low The Worst X,,"Kazuma Kawamura, Yuta Nakamoto, Hokuto Yoshino",2022,TV-14,119 min,Action & Adventure Movies
81313229,Movie,Rurouni Kenshin: The Beginning,,"Takeru Satoh, Kasumi Arimura, Issey Takahashi",2021,TV-MA,138 min,"Period Pieces ,Action & Adventure Movies"
70293105,Movie,Rurouni Kenshin: Origins,,"Takeru Satoh, Emi Takei, Koji Kikkawa",2012,TV-MA,134 min,"Period Pieces ,Action & Adventure Movies"
81603171,Movie,Furies,,"Dong Anh Quynh, Toc Tien, Thuan Nguyen",2023,TV-MA,109 min,"Crime Movies ,Drama Movies ,Martial Arts Movies ,Action & Adventure Movies"
81295067,Movie,Peninsula,,"Gang Dong-won, Lee Jung-hyun, Kwon Hae-hyo",2020,TV-MA,115 min,"Horror Movies ,Action & Adventure Movies"
70288432,Movie,Flu,,"Jang Hyuk, Su Ae, Park Min-ha",2013,TV-14,121 min,"Drama Movies ,Action & Adventure Movies"
80084765,Movie,Rise of the Legend,,"Eddie Peng, Sammo Kam-Bo Hung, Luodan Wang",2014,TV-MA,131 min,"Drama Movies ,Martial Arts Movies ,Period Pieces ,Action & Adventure Movies "
70306400,Movie,Kung Fu Jungle,,"Donnie Yen, Wang Baoqiang, Charlie Yeung",2014,TV-MA,99 min,"Crime Movies ,Martial Arts Movies ,Action & Adventure Movies "
70259456,Movie,The Thieves,,"Kim Yun-seok, Lee Jung-jae, Kim Hye-soo",2012,TV-14,135 min,"Crime Movies ,Action & Adventure Movies"
81478985,Movie,Kill Boksoon,,"Jeon Do-yeon, Sul Kyung-gu, Kim Si-a",2023,TV-MA,136 min,Action & Adventure Movies
